collection,variable,type,size_kb_per_event,doc
Event,luminosityBlock,uint32_t,0.0002001953125,luminosityBlock/i
Event,nElectron,int32_t,0.0006044921875,Electrons for PicoAOD
Event,nGenJet,int32_t,0.0001689453125,AK4 generator-level jets
Event,nJet,int32_t,0.000849609375,AK4 PUPPI jets for PicoAOD
Event,nMuon,int32_t,0.0008232421875,Muons for PicoAOD
Event,nPFCand,int32_t,0.0018056640625,selected packed PF candidates for PicoAOD
Event,nPFPuppiRhoStrip,int32_t,0.000181640625,"PUPPI-weighted PF rho as the median eta-phi strip density per eta bin, optionally using physical HCAL HB/HE/HF segmentation"
Event,nPFRhoStrip,int32_t,0.0001767578125,"PF rho as the median eta-phi strip density per eta bin, optionally using physical HCAL HB/HE/HF segmentation"
Event,orbitNumber,uint32_t,0.0001728515625,orbitNumber/i
Event,run,uint32_t,0.0001689453125,run/i
Flag,Flag_BadChargedCandidateFilter,bool,0.00017578125,Trigger/flag bit (process: PAT)
Flag,Flag_BadChargedCandidateSummer16Filter,bool,0.00018359375,Trigger/flag bit (process: PAT)
Flag,Flag_BadPFMuonDzFilter,bool,0.00016796875,Trigger/flag bit (process: PAT)
Flag,Flag_BadPFMuonFilter,bool,0.000166015625,Trigger/flag bit (process: PAT)
Flag,Flag_BadPFMuonSummer16Filter,bool,0.000173828125,Trigger/flag bit (process: PAT)
Flag,Flag_CSCTightHalo2015Filter,bool,0.0002470703125,Trigger/flag bit (process: PAT)
Flag,Flag_CSCTightHaloFilter,bool,0.0002119140625,Trigger/flag bit (process: PAT)
Flag,Flag_CSCTightHaloTrkMuUnvetoFilter,bool,0.00030859375,Trigger/flag bit (process: PAT)
Flag,Flag_EcalDeadCellBoundaryEnergyFilter,bool,0.0001826171875,Trigger/flag bit (process: PAT)
Flag,Flag_EcalDeadCellTriggerPrimitiveFilter,bool,0.0001845703125,Trigger/flag bit (process: PAT)
Flag,Flag_HBHENoiseFilter,bool,0.000166015625,Trigger/flag bit (process: PAT)
Flag,Flag_HBHENoiseIsoFilter,bool,0.0001689453125,Trigger/flag bit (process: PAT)
Flag,Flag_HcalStripHaloFilter,bool,0.000169921875,Trigger/flag bit (process: PAT)
Flag,Flag_chargedHadronTrackResolutionFilter,bool,0.0001845703125,Trigger/flag bit (process: PAT)
Flag,Flag_ecalBadCalibFilter,bool,0.0001689453125,Trigger/flag bit (process: PAT)
Flag,Flag_ecalLaserCorrFilter,bool,0.000361328125,Trigger/flag bit (process: PAT)
Flag,Flag_eeBadScFilter,bool,0.0001640625,Trigger/flag bit (process: PAT)
Flag,Flag_globalSuperTightHalo2016Filter,bool,0.0001806640625,Trigger/flag bit (process: PAT)
Flag,Flag_globalTightHalo2016Filter,bool,0.00017578125,Trigger/flag bit (process: PAT)
Flag,Flag_goodVertices,bool,0.0002060546875,Trigger/flag bit (process: PAT)
Flag,Flag_hcalLaserEventFilter,bool,0.0001708984375,Trigger/flag bit (process: PAT)
Flag,Flag_hfNoisyHitsFilter,bool,0.00016796875,Trigger/flag bit (process: PAT)
Flag,Flag_muonBadTrackFilter,bool,0.0001689453125,Trigger/flag bit (process: PAT)
Flag,Flag_trkPOGFilters,bool,0.0001796875,Trigger/flag bit (process: PAT)
Flag,Flag_trkPOG_logErrorTooManyClusters,bool,0.0001806640625,Trigger/flag bit (process: PAT)
Flag,Flag_trkPOG_manystripclus53X,bool,0.000189453125,Trigger/flag bit (process: PAT)
Flag,Flag_trkPOG_toomanystripclus53X,bool,0.0001923828125,Trigger/flag bit (process: PAT)
GenJet,GenJet_eta,float[],0.0001796875,eta
GenJet,GenJet_mass,float[],0.0001806640625,mass
GenJet,GenJet_phi,float[],0.0001796875,phi
GenJet,GenJet_pt,float[],0.0001787109375,pt
HLT,HLT_AK8DiPFJet250_250_SoftDropMass40,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8DiPFJet250_250_SoftDropMass50,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8DiPFJet260_260_SoftDropMass30,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8DiPFJet260_260_SoftDropMass40,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8DiPFJet270_270_SoftDropMass30,bool,0.000181640625,Trigger/flag bit (process: HLT)
