file,label,eta_min,eta_max,pt_min,pt_max,nvtx_center,n_events,mean_offset_GeV,mean_offset_error_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,72.5,22.0,-0.3829029519110918,0.06734453573098825
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,77.5,27.0,-0.4174064750938366,0.06819867291405061
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,3.0,5.0,52.5,1.0,-0.3569883108139038,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,3.0,5.0,77.5,1.0,0.010259944945573807,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,42.5,45.0,-0.019766966622895173,0.004190058493642414
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,47.5,58.0,-0.007919249175568533,0.0017205065179347273
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,52.5,47.0,-0.007185403591992849,0.0030426476862824587
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,57.5,60.0,-0.00456215040750673,0.0018903105424300471
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,62.5,77.0,-0.004316272151689711,0.0020363700712558073
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,67.5,67.0,-0.0014811415352759562,0.001425366324077646
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,72.5,31.0,-0.0022499612114775264,0.0026060363575433564
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.5,0.75,77.5,35.0,-0.00023013215437198855,0.0011054323134023342
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,42.5,45.0,-0.07706816225674831,0.0092850499745404
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,47.5,58.0,-0.06445372162451005,0.007243377683083696
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,52.5,47.0,-0.059892575402664856,0.00939977916253804
